Pardinho;4732;5582;7153
Santa Lucia;7853;8246;7149
Santo Antonio do Pinhal;6328;6516;7133
Teodoro Sampaio;20003;21389;7110
Quintana;5443;6008;7038
Lindoia;5331;6708;7010
Catigua;6555;7127;7003
Natividade da Serra;6952;6681;6999
Clementina;5404;7064;6982
Arandu;6065;6123;6885
Taquarivai;4473;5149;6876
Barra do Turvo;8108;7729;6875
Irapua;6658;7284;6867
Ipeuna;4340;6016;6831
Tuiuti;4956;5935;6778
Santo Antonio da Alegria;5764;6304;6775
Ipigua;3476;4459;6761
Nova Alianca;4768;5891;6693
Colombia;5954;5994;6629
Pedra Bela;5609;5780;6557
Taiuva;5506;5447;6548
Tarabai;5786;6605;6536
Sales;4563;5450;6437
Guaranta;6323;6400;6427
Restinga;5584;6587;6404
Jambeiro;3992;5350;6397
Santa Albertina;5586;5723;6393
Ibirarema;5701;6725;6385
Galia;7853;7011;6380
Sao Vicente;303551;332424;6310
Canitar;3481;4369;6283
Taciba;5221;5714;6260
Echapora;6827;6318;6205
Silveiras;5378;5792;6186
Mendonca;3759;4640;6159
Alambari;3650;4886;6141
Iacri;6783;6419;6131
Santo Antonio do Jardim;6154;5943;6126
Santa Ernestina;5741;5568;6118
Paraiso;5429;5907;6099
Oriente;5884;6097;6085
Orindiuva;4161;5678;6024
Campina do Monte Alegre;5209;5567;5954
Fernando Prestes;5434;5534;5942
Irapuru;7457;7787;5938
Americo de Campos;5594;5706;5870
Itirapua;5412;5914;5779
Sao Pedro;27897;31688;5776
Narandiba;3743;4289;5713
Taiacu;5619;5894;5677
Anhembi;4535;5648;5674
Barbosa;5837;6593;5640
Riversul;7192;6165;5599
Poloni;4774;5395;5592
Piacatu;4625;5287;5519
Caiua;4192;5039;5466
Aramina;4763;5150;5420
Coroados;4417;5238;5400
Ubarana;4220;5286;5365
Brauna;4383;5021;5356
Santa Maria da Serra;4673;5418;5243
Barra do Chapeu;4846;5236;5162
Ubirajara;4156;4429;5132
Sabino;4951;5226;5112
Indiana;4932;4828;5090
Lagoinha;4957;4840;5083
Sertaozinho;94664;110094;5054
Canas;3614;4387;4931
Campos Novos Paulista;4181;4539;4888
Presidente Bernardes;14662;13544;4850
alvaro de Carvalho;4109;4650;4808
Salmourao;4401;4818;4808
Onda Verde;3413;3884;4771
Nipoa;3267;4274;4750
Boraceia;3739;4268;4715
Gaviao Peixoto;4126;4420;4702
Ribeirao do Sul;4497;4464;4677
Ribeirao Corrente;3881;4273;4608
Maraba Paulista;3699;4812;4573
Meridiano;4025;3851;4572
Redencao da Serra;4047;3879;4494
Avai;4596;4959;4483
Alfredo Marcondes;3697;3891;4445
Novais;3225;4595;4412
Joao Ramalho;3842;4138;4371
Buritizal;3674;4055;4356
Adolfo;3684;3557;4351
Ocaucu;4164;4163;4331
Palestina;9100;11052;4325
Itapirapua Paulista;3577;3884;4306
Cabralia Paulista;4656;4365;4299
Coronel Macedo;5589;5001;4280
Santa Cruz da Conceicao;3531;3998;4277
Julio Mesquita;4166;4430;4254
Monte Castelo;4089;4063;4222
Borborema;13193;14532;4214
Corumbatai;3794;3874;4195
Espirito Santo do Turvo;3677;4246;4157
Glicerio;4428;4577;4138
Monteiro Lobato;3615;4123;4138
